included_id	id	title	controlled_comparison_status	benchmark_markers	primary_delta_type	primary_delta_candidate	all_delta_candidates	extraction_status	desempenho_vs_baseline
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	yes_nonmemory_external_baseline	OpenGame-Bench	ratio_or_count	9/57	ratio_or_count: 9/57; 0/54	candidate_extracted	OpenGame with Claude Sonnet 4.6 outperforms Cursor with Claude Sonnet 4.6 by 5.6 Build Health, 5.8 Visual Usability, and 6.2 Intent Alignment points. GameCoder-27B reaches 63.9/57.0/54.1 and outperforms every direct LLM baseline on Build Health and Intent Alignment.
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	yes_no_persistence_or_memory_ablation	SWE-Bench Pro; Terminal-Bench; CyberGym; DevOps-Gym; LoCoMo	manual_review	NR	NR	manual_review	On SWE-Bench Pro, SageAgent with Gemini 3 Flash reaches 59.0% versus SWE-agent 40.2% and Agentless 9.4%. In the memory ablation, OpenSage reaches 59.0 versus Mem0g 56.4 and NoMem 56.2.
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	yes_nonmemory_external_baseline	SWE-bench Lite	from_to_percent	from 27.3% to 37.7%	from_to_percent: from 27.3% to 37.7%; from 29.7% to 40.0%; from 27.0% to 35.6%	candidate_extracted	With GPT-4o, O-CRD improves over Agentless from 27.3% to 37.7% Pass@1 and exceeds SWE-Search by 6.7 percentage points. With GPT-5, it improves Agentless from 29.7% to 40.0%; with DeepSeek-V3, from 27.0% to 35.6%.
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	yes_no_persistence_or_memory_ablation	LiveCodeBench; GPQA; AIME; MATH/MATH500	manual_review	NR	NR	manual_review	On LiveCodeBench V1-4 with Qwen3-32B and m=30, Reasoning Memory reaches 0.471 versus Length Scaling 0.405 and No RAG 0.387 at m=8; on LiveCodeBench V5-6 it reaches 0.508 versus Length Scaling 0.476 and No RAG 0.465.
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	yes_nonmemory_external_baseline	SWE-bench Verified; DS-1000; DA-Code; AppWorld; MATH/MATH500	manual_review	NR	NR	manual_review	On SWE subsets, ReCreate reaches 60.19 on Django and 63.64 on SymPy, exceeding the best baseline in each row. It also improves over ADAS and AgentSquare averages by more than seven points.
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	yes_no_persistence_or_memory_ablation	SUPER; ResearchCodeBench; ScienceAgentBench	from_to_percent	from 34.7 to 16.0	from_to_percent: from 34.7 to 16.0	candidate_extracted	REVERE improves SUPER Overall by +4.50 over Static SOTA, ResearchCodeBench Accuracy by +1.3, and ScienceAgentBench SuccessRate by +4.89; removing the full Global Training Context drops the representative SUPER Overall from 34.7 to 16.0.
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	yes_nonmemory_external_baseline	PandasBench	multiplicative	4.3x	multiplicative: 4.3x; 1914.89x	candidate_extracted	RuleFlow reaches a maximum speedup of 4.3x over DIAS and 1914.89x over MODIN; compared with a single-agent RuleGen variant, the multi-agent RuleGen obtains 68% valid rules versus 18%.
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	yes_no_persistence_or_memory_ablation	MultiAgentBench	ratio_or_count	79/45	ratio_or_count: 79/45; 96/48; 52/40; 32/46	candidate_extracted	In the coding topology ablation with Qwen3-32B-Instruct, local memory obtains TS 49.68, CS 46.69, and AAS 49.43 versus shared 46.79/45.96/48.62 and hybrid 46.52/40.32/46.92.
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	yes_nonmemory_external_baseline	HumanEvalDafny; DafnyBench; GSM-Symbolic; tau2-bench	manual_review	NR	NR	manual_review	SEVerA exceeds the best constrained-decoding method on GSM-Symbolic by 21.3 percentage points and reports 52.6% on tau2-bench airline versus 47.3% for Agent-C with Claude Sonnet 4.5.
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	yes_nonmemory_external_baseline	SelfEvolve self-extension tasks	from_to_percent	from 2.2 to 4.7	from_to_percent: from 2.2 to 4.7	candidate_extracted	SelfEvolve reaches 92.7% Pass@1 versus AutoGen at 30.9%, MetaGPT at 27.3%, and AgentCoder at 0.0%. Removing TDD reduces performance to 72.7% and raises average iterations from 2.2 to 4.7.
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified	signed_percentage_points	+6.8pp	signed_percentage_points: +6.8pp; +5.6pp; +3.9pp; +2.3pp; +4.7pp	candidate_extracted	+6.8pp Gemini 2.5 Pro (60.3% vs 53.5%); +5.6pp Gemini 2.5 Flash (41.9% vs 36.3%); +3.9pp Claude 3.7 Sonnet (56.1% vs 52.2%); +2.3pp Claude 4.0 Sonnet (65.8% vs 63.5%); média +4.7pp
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	yes_no_persistence_or_memory_ablation	HumanEval-Hard; MBPP-Hard	ratio_or_count	78/93	ratio_or_count: 78/93; 11/82; 56/91	candidate_extracted	On HumanEval-Hard, TextBFGS reaches 97.78/93.33 versus 91.11/82.22 for TextBFGS without case base and 95.56/91.11 for REMO. Cross-domain TextBFGS maintains 74.36 MBPP Plus Pass using a HumanEval case base versus 58.12 for REMO.
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	yes_no_persistence_or_memory_ablation	PaperBench; MLE-Bench	manual_review	NR	NR	manual_review	On PaperBench, AiScientist improves over IterAgent by 9.92 points with Gemini and 11.36 points with GLM-5. Removing File-as-Bus drops PaperBench by 6.41 points and MLE-Bench Lite any-medal rate by 31.82 points.
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	yes_nonmemory_external_baseline	SWE-bench Verified; WebArena; GPQA; AgentSafetyBench; AgentHarm; Agent Security Bench	signed_percentage_points	+39.0pp	signed_percentage_points: +39.0pp; +47.2pp; +28.5pp | arrow_change: 2.8%→0.2%; 1.2%→0.0%	candidate_extracted	+39.0pp SWE-bench (73.6% vs 34.6%); +47.2pp WebArena (66.9% vs 19.7%); +28.5pp GPQA (87.3% vs 58.7%); violations 2.8%→0.2% SWE-bench; unsafe success 1.2%→0.0%
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	yes_no_persistence_or_memory_ablation	SLUMP	manual_review	NR	NR	manual_review	Single-shot outperforms emergent specification on 16 of 20 papers for Claude Code and 14 of 20 for Codex. ProjectGuard improves Claude IF50 on 15 of 20 papers; Codex semantic gains are small but DIR improves on 15 of 19 analyzed cases.
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	yes_no_persistence_or_memory_ablation	SWE-bench Verified	signed_percentage_points	+9.4pp	signed_percentage_points: +9.4pp; +3.4pp	candidate_extracted	+9.4pp vs sem memória com DeepSeek-V3.2 (77.8% vs 68.4%); +3.4pp vs OpenHands+GPT-5.2 (78.8% vs ~74.4%); top-6 no leaderboard SWE-bench Verified
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	yes_no_persistence_or_memory_ablation	SUPER; ResearchCodeBench; ScienceAgentBench	from_to_percent	from 34.7 to 16.0	from_to_percent: from 34.7 to 16.0	candidate_extracted	SARE without ground truth improves the SUPER overall score to 38.8 versus 29.9 for the baseline, while SARE with ground truth reaches 52.8. Ablating the whole Global Training Context drops SUPER overall from 34.7 to 16.0 in the reported ablation table.
