included_id	id	title	current_status	suggested_status	final_status	baseline_evidence	performance_evidence	manual_rationale
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Direct generation, Self-Reflection, SE-Agent, AlphaEvolve, ablations without diversified planning, genetic evolution, or hierarchical memory	With GPT-5, CSE improves average MI to 67.47% versus Direct 59.13%, Self-Reflection 60.24%, SE-Agent 64.41%, and AlphaEvolve 63.04%. Ablation on GPT-5 shows full CSE MI 68.10% versus 63.08% without memory, 63.82% without planning, and 64.72% without evolution.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	yes_no_persistence_or_memory_ablation	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	OpenEvolve, ShinkaEvolve, EvoX, single-agent CORAL, independent best-of-four single-agent runs, no-knowledge ablation	CORAL improvement rates are reported as 3-10 times higher than fixed evolutionary-search baselines and typically converge within 5-20 evaluations versus 60-100 for baselines. Knowledge ablation worsens Kernel Engineering from 1350 to 1601 cycles, Polyominoes from 80.2 to 77.3, and Txn Scheduling from 4566 to 4444.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Baseline nanoGPT configuration and ablation without the memory file system	The paper reports a 2.07 percent reduction in perplexity and a 1.26 percent reduction in MFU; removing persistent memory produced about 3 percent worse performance, but the authors caution that the results are not statistically meaningful.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Vanilla agent without context, raw experience retrieval, distilled lesson retrieval, full memory, k-means consolidated memory, flat top-k lesson retrieval, hierarchical concept tree	On WebShop and SWE, lesson-based context consistently outperforms raw trajectories and vanilla context-free agents. Concept-tree retrieval improves over top-k lesson retrieval on WebShop and shows a noticeable improvement on SWE, while excessive K/raw context can degrade performance.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	boundary_needs_pdf_review	candidate_component_ablation_review	no_no_persistence_or_nonmemory_baseline	DeepSeek-v3.1, DeepSeek-R1, GPT-OSS-20B, GPT-OSS-120B, Kimi-K2 variants, Qwen3-235B-A22B, Claude-Sonnet-4, GPT-5-Mini, Gemini-2.5-Flash, Qwen3-Coder-30B-A3B-Instruct, SWE-only and Docker-only training ablations, acceptance-shaping and curriculum ablations	DockSmith improves +20.3 absolute F2P points over Qwen3-Coder-30B-A3B-Instruct. Error analysis reduces total errors from 3,757 to 2,161, critical errors by 40.2%, and average errors per trajectory from 11.81 to 6.67.	PDF/text review found model, training, acceptance-shaping, and curriculum comparisons, but no clean no-memory or no-success-memory ablation for DockSmith's persistence mechanism.
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Vanilla Qwen2.5-7B, LLaMA3.1-8B, LLaMA3.3-70B, GPT-4o, KG-only, CBR-only, KG+CBR RAG pipeline, StarCoder, WizardCoder, CodeLLaMA-Python, WizardCoder-CL, Magicoder-CL, MagicoderS-CL, random case sampling	On Truck CAN Signal, Qwen2.5-7B improves from 39.62% to 96.64% total pass@1, and GPT-4o with DomRetriever improves from 71.22% to 98.04%. On DS-1000, Qwen2.5-7B improves from 29.3% to 39.2% total pass@1; external GPT-4o improves from 51.0% to 58.6% with LLaMA3.1-8B DomRetriever.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Agentes sem EET (Agentless, Mini-SWE-Agent, Trae Agent), Turn-control (Gao and Peng 2026), Naive-EET (RAG com trajetórias brutas)	+2.7% resolve rate médio vs agentes sem EET; Agentless beneficia mais (+7.5% abs com GPT-5-mini)	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Instruction, RAG, CoT, SBLLM, FasterPy, EffiCoder, ablations without retrieval, with random skills, and without multi-plan composition	With GPT-5-mini, EffiSkill reaches Python OPT@1/OPT@8 of 26.48/37.40 and C++ OPT@1/OPT@8 of 44.62/66.77. With Qwen3-Coder, it reaches Python 21.35/36.60 and C++ 34.19/56.50, outperforming Instruction, RAG, CoT, SBLLM, FasterPy, and EffiCoder where applicable.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	boundary_needs_pdf_review	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	GUIRepair, Agentless Lite, SWE-agent, Zencoder, Computer-Use Agents, commercial systems, and FailureMem ablations	FailureMem reaches 31.1%, 33.1%, 33.3%, 32.5%, and 33.8% resolved rates with GPT-4.1, GPT-5.1, GPT-5.2, Claude 4, and Claude 4.5 respectively, compared with GUIRepair at 28.8%, 29.4%, 29.8%, 28.6%, and 31.5%.	PDF/text review found explicit memory-free/no-historical-memory FailureMem comparators and component ablations.
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	no_no_persistence_or_nonmemory_baseline	candidate_controlled_no_persistence	no_no_persistence_or_nonmemory_baseline	DGM-like self-evolving baseline, Darwin Godel Machine lineage, OpenHands+GPT-5, Aider+GPT-5, human-designed framework comparisons	GEA nearly matches OpenHands+GPT-5 on SWE-bench Verified (71.0% versus 71.8%) and exceeds Aider+GPT-5 on Polyglot (88.3% versus 52.0%). It fixes framework-level bugs in 1.4 iterations on average versus 5.0 for DGM trials.	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	R&D-Agent, AIRA-dojo, ML-Master, AIDE (MLE-Bench); ALE-Agent, ALE Sequential, ALE one-shot (ALE-Bench)	+15.56pp medal rate vs R&D-Agent em MLE-Bench; +30.1 ELO vs ALE-Agent em ALE-Bench; vantagem concentrada em tarefas Hard (+17.78pp)	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	AI CUDA Engineer, IREE compiler, PyTorch (Eager + torch.compile), Kernelsseum (zero-shot), no_mem_agent (ablação)	GeoMean 1.43× (L1), 2.50× (L2), 1.50× (L3) vs PyTorch; 1.67× vs no_mem_agent; supera AI CUDA Engineer em fast_p para speedups moderados a altos	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	yes_nonmemory_external_baseline	candidate_component_ablation_review	yes_nonmemory_external_baseline	Kevin-32B, Astra, PRAGMA, CudaForge, QiMeng, STARK, Torch Eager, and KernelSkill ablations	Compared with STARK, KernelSkill improves average speedup by 79.5% on Level 1, 4.8% on Level 2, and 21.5% on Level 3. It reaches these gains with 15 refinement rounds, while STARK reports 30 rounds.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	boundary_needs_pdf_review	candidate_controlled_no_persistence	no_no_persistence_or_nonmemory_baseline	Baseline implementations and evolutionary search variants for the scientific-code optimization workloads	The paper reports improvements in runtime performance, memory efficiency, and correctness over baseline and evolutionary methods, including reusable motifs such as kernel fusion, shared-memory tiling, and batching strategies.	PDF/text review found baseline implementation and evolutionary-search comparisons, but no clean no-persistence or no-trajectory-memory comparator for PhyloEvolve.
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	No-memory, MetaGPT, Generative, Voyager, G-Memory, OAgent/OAgents, JoyAgent, ChatDev, MARTI fine-tuning baseline	In Table 4 with Llama-3.1-8B-Instruct, LatentMem improves AutoGen average from 52.86 to 61.82, MacNet from 53.38 to 61.00, CAMEL from 53.37 to 60.04, and DyLAN from 52.80 to 60.06; KodCode gains range from +14.90 to +18.45 points.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Base agent without skill document under the same Claude Opus 4.6 tool-use capabilities	Table 2 reports File IoU improvements in three of four settings, including 80% versus 61% in seq-all and 80% versus 68% in par-bycat. Table 3 reports skill-agent win rates of 54%/57% in par-bycat and 55%/58% in seq-all under Claude/Gemini judges.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	yes_no_persistence_or_memory_ablation	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	Naive RAG, EpiGen, CAPIR, ReMem, DC-RS, MEMCoder ablations, and oracle static documentation analysis	With Qwen2.5-Coder, Naive RAG plus MEMCoder reaches 52.54 Pass@1 on NdonnxEval and 33.74 on NumbaEval versus Naive RAG at 27.22 and 23.16. In continual-learning comparison, MEMCoder reaches 33.74 Pass@1 on NumbaEval versus ReMem 23.16 and DC-RS 17.33.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Vanilla agent, Buffer of Thoughts, Dynamic Cheatsheet, memory from same model, memory from another model, self-contrast memory	For Qwen2.5-7B, MemCollab improves average accuracy from 57.1 to 71.6; MBPP improves from 47.9 to 57.6 and HumanEval from 42.7 to 74.4. For Qwen2.5-32B, average accuracy improves from 70.8 to 79.6.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	SWE-Agent (sem memória), AutoCodeRover, CodeAct, SWESynInfer, mini-SWE-agent, RAG estático, Agentic RAG	+3.2pp com Claude 4 Sonnet (69.8% vs 66.6%); +8.2pp com Qwen3-235B (55.4% vs 47.2%); +9.4pp com GPT-4o (32.6% vs 23.2%); média +4.65pp em 7 LLMs	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	yes_no_persistence_or_memory_ablation	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	Zero-shot coding agent, ReasoningBank, AgentKB, memory retrieval variants with LLM reranking and adaptive rewriting	With GPT-5-mini, zero-shot average Pass@3 is 0.523 and MTL with Insight reaches 0.560. MTL outperforms ReasoningBank and AgentKB on the three-benchmark comparison with average 0.630 versus 0.601 and 0.613.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	yes_no_persistence_or_memory_ablation	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	Qwen2.5-Coder single-agent, UniTrans Method, Multi-Agent no-experience, ODEL internal experience, Deepseek-Coder single-agent, Deepseek-Coder ODEL	ODEL External Experience outperforms UniTrans at 72.16% Pass@1 and 76.64% Pass@10. It also improves over ODEL Internal Experience by 6.35 Pass@1 points and 4.32 Pass@10 points.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	yes_nonmemory_external_baseline	candidate_controlled_no_persistence	yes_nonmemory_external_baseline	Direct LLMs, qwen-code, Cursor, Qwen-3.5-27B, GameCoder-27B, ablations without hook-driven implementation, three-layer reading, physics-first classification, evolved templates, and living debug protocol	OpenGame with Claude Sonnet 4.6 outperforms Cursor with Claude Sonnet 4.6 by 5.6 Build Health, 5.8 Visual Usability, and 6.2 Intent Alignment points. GameCoder-27B reaches 63.9/57.0/54.1 and outperforms every direct LLM baseline on Build Health and Intent Alignment.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Anthropic Agent, OpenHands, Droid, Simple Codex, Claude Code, SWE-agent, Agentless, Mem0g, NoMem, OpenSage feature ablations	On SWE-Bench Pro, SageAgent with Gemini 3 Flash reaches 59.0% versus SWE-agent 40.2% and Agentless 9.4%. In the memory ablation, OpenSage reaches 59.0 versus Mem0g 56.4 and NoMem 56.2.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	yes_nonmemory_external_baseline	candidate_component_ablation_review	yes_nonmemory_external_baseline	Agentless, SWE-Agent, OpenHands, AutoCodeRover, MoatlessTools, MASAI, AutoCodeRover-v2, SWE-Search, O-CRD without Exemplar Guardian, O-CRD with MCTS-style forward search	With GPT-4o, O-CRD improves over Agentless from 27.3% to 37.7% Pass@1 and exceeds SWE-Search by 6.7 percentage points. With GPT-5, it improves Agentless from 29.7% to 40.0%; with DeepSeek-V3, from 27.0% to 35.6%.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	yes_no_persistence_or_memory_ablation	candidate_component_ablation_review	yes_no_persistence_or_memory_ablation	No RAG, Trajectory RAG prefix, Trajectory RAG summary, Template RAG ReasonFlux, Template RAG Self-Discover, Document RAG CompactDS, Document RAG Google, retrieval-free Length Scaling	On LiveCodeBench V1-4 with Qwen3-32B and m=30, Reasoning Memory reaches 0.471 versus Length Scaling 0.405 and No RAG 0.387 at m=8; on LiveCodeBench V5-6 it reaches 0.508 versus Length Scaling 0.476 and No RAG 0.465.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	yes_nonmemory_external_baseline	candidate_controlled_no_persistence	yes_nonmemory_external_baseline	CoT, Step-Back Abstraction, Self-Refine, LIVE, OPRO, ExpeL, ADAS, AgentSquare, ReCreate without creation router, ReCreate without domain update	On SWE subsets, ReCreate reaches 60.19 on Django and 63.64 on SymPy, exceeding the best baseline in each row. It also improves over ADAS and AgentSquare averages by more than seven points.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Minimal baseline prompts, Static SOTA prompts, GEPA, ACE, REVERE without cheatsheet, REVERE without auxiliary context, REVERE without reflection history, REVERE without Global Training Context	REVERE improves SUPER Overall by +4.50 over Static SOTA, ResearchCodeBench Accuracy by +1.3, and ScienceAgentBench SuccessRate by +4.89; removing the full Global Training Context drops the representative SUPER Overall from 34.7 to 16.0.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	DIAS, MODIN, DASK, KOALAS, single-agent RuleGen ablation	RuleFlow reaches a maximum speedup of 4.3x over DIAS and 1914.89x over MODIN; compared with a single-agent RuleGen variant, the multi-agent RuleGen obtains 68% valid rules versus 18%.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	No memory, MARBLE memory-enabled MultiAgentBench baseline, A-Mem dynamic memory framework, LLMA-Mem topology variants, LLMA-Mem consolidation-interval variants	In the coding topology ablation with Qwen3-32B-Instruct, local memory obtains TS 49.68, CS 46.69, and AAS 49.43 versus shared 46.79/45.96/48.62 and hybrid 46.52/40.32/46.92.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	yes_nonmemory_external_baseline	candidate_component_ablation_review	yes_nonmemory_external_baseline	LLM baselines, constrained decoding methods, Agent-C, and SEVerA ablations over verification/learning components	SEVerA exceeds the best constrained-decoding method on GSM-Symbolic by 21.3 percentage points and reports 52.6% on tau2-bench airline versus 47.3% for Agent-C with Claude Sonnet 4.5.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	yes_nonmemory_external_baseline	candidate_component_ablation_review	yes_nonmemory_external_baseline	AgentCoder, AutoGen, MetaGPT, and SelfEvolve without TDD	SelfEvolve reaches 92.7% Pass@1 versus AutoGen at 30.9%, MetaGPT at 27.3%, and AgentCoder at 0.0%. Removing TDD reduces performance to 72.7% and raises average iterations from 2.2 to 4.7.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Vanilla Agent (Mini SWE Agent sem memória), Instance-level Memory (reprodução de ReasoningBank)	+6.8pp Gemini 2.5 Pro (60.3% vs 53.5%); +5.6pp Gemini 2.5 Flash (41.9% vs 36.3%); +3.9pp Claude 3.7 Sonnet (56.1% vs 52.2%); +2.3pp Claude 4.0 Sonnet (65.8% vs 63.5%); média +4.7pp	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	no_no_persistence_or_nonmemory_baseline	candidate_controlled_no_persistence	no_no_persistence_or_nonmemory_baseline	Cosine retrieval baseline, SuperLocalMemory V3.2 baseline, LoCoMo baselines and Mode C variants	The paper reports +23.8 percentage points on multi-hop, +15.3 on temporal, and +12.7 on adversarial questions versus the V3.3 baseline, while V3.3 trails V3.2 overall LoCoMo Mode A by 4.4 percentage points due to fusion complexity.	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	TextGrad, TextGrad-Momentum, TextBFGS without case base, and TextBFGS-REMO with problem-based retrieval	On HumanEval-Hard, TextBFGS reaches 97.78/93.33 versus 91.11/82.22 for TextBFGS without case base and 95.56/91.11 for REMO. Cross-domain TextBFGS maintains 74.36 MBPP Plus Pass using a HumanEval case base versus 58.12 for REMO.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	BasicAgent, IterAgent, AiScientist without File-as-Bus, and MLE-Bench Lite leaderboard/baseline systems	On PaperBench, AiScientist improves over IterAgent by 9.92 points with Gemini and 11.36 points with GLM-5. Removing File-as-Bus drops PaperBench by 6.41 points and MLE-Bench Lite any-medal rate by 31.82 points.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	OpenHands CodeActAgent (gpt-4o native), +Global guardrail only, +GBT-Basic, +GBT-SE (ablation ladder progressiva)	+39.0pp SWE-bench (73.6% vs 34.6%); +47.2pp WebArena (66.9% vs 19.7%); +28.5pp GPQA (87.3% vs 58.7%); violations 2.8%→0.2% SWE-bench; unsafe success 1.2%→0.0%	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Emergent specification runs, single-shot specification control, and ProjectGuard mitigation on Claude Code/Codex	Single-shot outperforms emergent specification on 16 of 20 papers for Claude Code and 14 of 20 for Codex. ProjectGuard improves Claude IF50 on 15 of 20 papers; Codex semantic gains are small but DIR improves on 15 of 19 analyzed cases.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	OpenHands (Claude Opus 4.5, Claude Sonnet 4.5, GPT-5.2, Gemini 3 Pro), TRAE, DaubanCode, Live-SWE-agent, EPAM AI/Run, Atlassian Rover, ACoder, Warp	+9.4pp vs sem memória com DeepSeek-V3.2 (77.8% vs 68.4%); +3.4pp vs OpenHands+GPT-5.2 (78.8% vs ~74.4%); top-6 no leaderboard SWE-bench Verified	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Baseline agent, Static SOTA, GEPA-style adaptation, SARE without ground truth, SARE with ground truth, and SARE ablations without cheatsheet, auxiliary context, reflection, or Global Training Context	SARE without ground truth improves the SUPER overall score to 38.8 versus 29.9 for the baseline, while SARE with ground truth reaches 52.8. Ablating the whole Global Training Context drops SUPER overall from 34.7 to 16.0 in the reported ablation table.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
