full_text_id	screening_id	dedup_group	title	year	authors	venue	doi	arxiv_id	sources	source_files	provenance	duplicate_row_count	title_abstract_decision	title_abstract_rationale	has_abstract	needs_metadata_lookup	retrieval_priority	retrieval_status	pdf_path	text_path	full_text_decision	ci1_persistence	ci2_evaluation	ci3_year	ci4_language	ci5_publication_type	ce1_no_cross_session_persistence	ce2_not_software_dev	ce3_no_evaluation	ce4_tutorial_editorial_or_descriptive_survey	ce5_duplicate_or_superseded	exclusion_code	full_text_rationale	reviewer	reviewed_at_utc	notes
FT0043	TA00218	D00218	Memory for Autonomous LLM Agents:Mechanisms, Evaluation, and Emerging Frontiers	2026		arXiv	10.48550/arXiv.2603.07670	2603.07670	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI	1	include	Analytical survey formalizes agent memory mechanisms and includes coding-agent applications; advances as contextual evidence.	yes	no	1_include	ok	search/full-texts/pdf/FT0043_TA00218_memory-for-autonomous-llm-agents-mechanisms-evaluation-and-emerging-frontiers.pdf	search/full-texts/text/FT0043_TA00218_memory-for-autonomous-llm-agents-mechanisms-evaluation-and-emerging-frontiers.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text is an analytical survey that formalizes agent memory as a write-manage-read loop, provides a taxonomy and benchmark comparison, and explicitly covers software-engineering/coding-agent memory.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0044	TA00235	D00235	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	2026	Mo Li; L. H. Xu; Qitai Tan; Ting Cao; Yunxin Liu	arXiv	10.48550/arXiv.2603.26664	2603.26664	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.CL; forward | forward_from=du2026memory;shen2026structurally;wang2025repositorymemory;zhu2026swecontextbench	1	include	Online Repository Memory accumulates reusable repository skills from earlier commits for later pull-request generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0044_TA00235_learning-to-commit-generating-organic-pull-requests-via-online-repository-memory.pdf	search/full-texts/text/FT0044_TA00235_learning-to-commit-generating-organic-pull-requests-via-online-repository-memory.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Online Repository Memory that learns reusable skills from chronological historical commits and evaluates future pull-request generation on held-out later repository changes.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0045	TA00236	D00236	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	2026		arXiv	10.48550/arXiv.2603.27277	2603.27277	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI;cs.PL	0	include	Codebase-Memory provides a persistent Tree-Sitter knowledge graph for coding-agent code exploration and reports evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0045_TA00236_codebase-memory-tree-sitter-based-knowledge-graphs-for-llm-code-exploration-via.pdf	search/full-texts/text/FT0045_TA00236_codebase-memory-tree-sitter-based-knowledge-graphs-for-llm-code-exploration-via.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Codebase-Memory as a persistent Tree-Sitter knowledge graph exposed to coding agents through MCP, with repository/question-answering and SWE-bench-related evaluation.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0046	TA00246	D00246	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	2026		arXiv	10.48550/arXiv.2604.03851	2604.03851	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	0	include	PatchAdvisor integrates retrieval-based memory from kernel patch evolution for program repair.	yes	no	1_include	ok	search/full-texts/pdf/FT0046_TA00246_beyond-crash-to-patch-patch-evolution-for-linux-kernel-repair.pdf	search/full-texts/text/FT0046_TA00246_beyond-crash-to-patch-patch-evolution-for-linux-kernel-repair.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes PatchAdvisor using layered retrieval-based memory from historical Linux kernel patch evolution to guide later repair/review generation, with temporally held-out evaluation.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0047	TA00247	D00247	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	2026		arXiv	10.48550/arXiv.2604.04514	2604.04514	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI;cs.CL;cs.IR	1	include	SuperLocalMemory is an explicit local-first memory system for AI coding agents with retrieval and forgetting mechanisms.	yes	no	1_include	ok	search/full-texts/pdf/FT0047_TA00247_superlocalmemory-v3-3-the-living-brain-biologically-inspired-forgetting-cognitiv.pdf	search/full-texts/text/FT0047_TA00247_superlocalmemory-v3-3-the-living-brain-biologically-inspired-forgetting-cognitiv.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes SuperLocalMemory as a persistent cross-session local memory system for AI coding agents, including code-graph support, lifecycle hooks, forgetting/consolidation, and retrieval/memory benchmarks.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0048	TA00266	D00266	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	2026	Kangsan Kim; Min-Bong Kang; Taeil Kim; Yanlai Yang; Mengye Ren; Sung Ju Hwang	arXiv	10.48550/arXiv.2604.14004	2604.14004	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI;cs.CL; forward | forward_from=chen2025sweexp;ouyang2026reasoningbank;tang2025agentkb	3	include	Memory Transfer Learning evaluates unified memory pools and cross-domain memory transfer for coding agents.	yes	no	1_include	ok	search/full-texts/pdf/FT0048_TA00266_memory-transfer-learning-how-memories-are-transferred-across-domains-in-coding-a.pdf	search/full-texts/text/FT0048_TA00266_memory-transfer-learning-how-memories-are-transferred-across-domains-in-coding-a.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text evaluates Memory Transfer Learning for coding agents, using unified memory pools from heterogeneous coding domains and measuring cross-domain transfer across six coding benchmarks.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0049	TA00274	D00274	OpenGame: Open Agentic Coding for Games	2026		arXiv	10.48550/arXiv.2604.18394	2604.18394	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	0	include	OpenGame uses evolving game skills and a living debug protocol learned from experience for agentic game coding.	yes	no	1_include	ok	search/full-texts/pdf/FT0049_TA00274_opengame-open-agentic-coding-for-games.pdf	search/full-texts/text/FT0049_TA00274_opengame-open-agentic-coding-for-games.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes OpenGame's evolving Template Skill and Debug Skill, which accumulate reusable project skeletons and verified debugging protocols for web-game coding, with OpenGame-Bench evaluation.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0050	TA00299	D00299	EvoSkill: Automated Skill Discovery for Multi-Agent Systems	2026		arXiv	10.48550/arXiv.2603.02766	2603.02766	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI;cs.MA	0	include	EvoSkill discovers and refines reusable agent skill folders from failure analysis for coding agents.	yes	no	1_include	ok	search/full-texts/pdf/FT0050_TA00299_evoskill-automated-skill-discovery-for-multi-agent-systems.pdf	search/full-texts/text/FT0050_TA00299_evoskill-automated-skill-discovery-for-multi-agent-systems.txt	exclude	uncertain	yes	yes	yes	yes	no	yes	no	no	no	CE2	Full text describes generic self-evolving agent skills evaluated on OfficeQA, SealQA, and BrowseComp transfer; it does not provide software-development or coding-task evaluation.	codex_full_text_006	2026-04-28T21:53:04Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 006 high-confidence include records.
FT0051	TA00405	D00405	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	2026		arXiv	10.48550/arXiv.2603.05517	2603.05517	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI;cs.CR;cs.SE	0	include	Traversal-as-Policy distills OpenHands logs into externalized, reusable behavior policies updated from experience.	yes	no	1_include	ok	search/full-texts/pdf/FT0051_TA00405_traversal-as-policy-log-distilled-gated-behavior-trees-as-externalized-verifiabl.pdf	search/full-texts/text/FT0051_TA00405_traversal-as-policy-log-distilled-gated-behavior-trees-as-externalized-verifiabl.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Traversal-as-Policy distilling OpenHands execution logs into a persistent executable Gated Behavior Tree with experience-grounded gate updates, spine memory, and SWE-bench/OpenHands evaluation.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0052	TA00407	D00407	Learning Abstractions for Hierarchical Planning in Program-Synthesis Agents	2026		arXiv	10.48550/arXiv.2602.00929	2602.00929	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI	2	include	TheoryCoder-2 learns reusable abstractions from experience for program-synthesis agents.	yes	no	1_include	ok	search/full-texts/pdf/FT0052_TA00407_learning-abstractions-for-hierarchical-planning-in-program-synthesis-agents.pdf	search/full-texts/text/FT0052_TA00407_learning-abstractions-for-hierarchical-planning-in-program-synthesis-agents.txt	exclude	uncertain	yes	yes	yes	yes	no	yes	no	no	no	CE2	Full text evaluates TheoryCoder-2 on VGDL games, BabyAI, Minihack, and Sokoban-style planning environments; despite program-synthesis mechanisms, it does not provide software-development or coding-task evaluation.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 002. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0053	TA00430	D00430	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	2026	Weihua Du; Jingming Zhuo; Yixin Dong; Andre He; Weiwei Sun; Zeyu Zheng; Manupa Karunaratne; Ivan Fox; Tim Dettmers; Tianqiu Chen; Yiming Yang; Sean J. Welleck	arXiv	10.48550/arXiv.2604.16625	2604.16625	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI;cs.LG; forward | forward_from=zhang2025accelopt	3	include	AdaExplore builds a reusable memory of validity rules from accumulated execution feedback for kernel code generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0053_TA00430_adaexplore-failure-driven-adaptation-and-diversity-preserving-search-for-efficie.pdf	search/full-texts/text/FT0053_TA00430_adaexplore-failure-driven-adaptation-and-diversity-preserving-search-for-efficie.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes AdaExplore building cross-task memory of validity rules from execution failures for Triton/kernel generation and evaluating runtime optimization on KernelBench.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0054	TA00478	D00478	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	2026		arXiv	10.48550/arXiv.2602.00059	2602.00059	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI	2	include	TextBFGS maintains a dynamic case base of historical error-to-operator correction trajectories for code optimization.	yes	no	1_include	ok	search/full-texts/pdf/FT0054_TA00478_textbfgs-a-case-based-reasoning-approach-to-code-optimization-via-error-operator.pdf	search/full-texts/text/FT0054_TA00478_textbfgs-a-case-based-reasoning-approach-to-code-optimization-via-error-operator.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes TextBFGS maintaining and retaining a dynamic case base of historical error-to-operator correction trajectories for code optimization, with HumanEval and MBPP evaluation.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0055	TA00483	D00483	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	2026		arXiv	10.48550/arXiv.2603.17826	2603.17826	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI	0	include	FailureMem transforms failed multimodal repair attempts into reusable knowledge for autonomous software repair.	yes	no	1_include	ok	search/full-texts/pdf/FT0055_TA00483_failuremem-a-failure-aware-multimodal-framework-for-autonomous-software-repair.pdf	search/full-texts/text/FT0055_TA00483_failuremem-a-failure-aware-multimodal-framework-for-autonomous-software-repair.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes FailureMem storing historical repair trajectories in a hierarchical failure memory bank and retrieving them as reusable guidance for multimodal automated program repair on SWE-bench Multimodal.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0056	TA00486	D00486	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	2026		arXiv	10.48550/arXiv.2604.24222	2604.24222	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI;cs.CL	1	include	MEMCoder accumulates and evolves usage guidelines for private-library-oriented code generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0056_TA00486_memcoder-multi-dimensional-evolving-memory-for-private-library-oriented-code-gen.pdf	search/full-texts/text/FT0056_TA00486_memcoder-multi-dimensional-evolving-memory-for-private-library-oriented-code-gen.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes MEMCoder using multi-dimensional evolving task-level and API-level memory that is updated from execution feedback and reused for private-library-oriented code generation on NdonnxEval and NumbaEval.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0057	TA00622	D00622	CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation	2026		arXiv	10.48550/arXiv.2601.02868	2601.02868	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	1	include	CodeMEM dynamically maintains and updates AST-guided memory for repository-level iterative code generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0057_TA00622_codemem-ast-guided-adaptive-memory-for-repository-level-iterative-code-generatio.pdf	search/full-texts/text/FT0057_TA00622_codemem-ast-guided-adaptive-memory-for-repository-level-iterative-code-generatio.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text describes AST-guided memory for preserving repository context and session history within multi-turn iterative code-generation sessions, but does not establish persistence across independent sessions or tasks.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0058	TA00632	D00632	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	2026	Zhaotian Weng; Antonis Antoniades; Deepak Nathani; Zhen Zhang; Xiao Pu; Xin Eric Wang	arXiv	10.48550/arXiv.2602.04837	2602.04837	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; forward | forward_from=zhang2025darwingodel	3	include	Group-Evolving Agents explicitly shares and reuses experience across evolving agents and evaluates on coding benchmarks.	yes	no	1_include	ok	search/full-texts/pdf/FT0058_TA00632_group-evolving-agents-open-ended-self-improvement-via-experience-sharing.pdf	search/full-texts/text/FT0058_TA00632_group-evolving-agents-open-ended-self-improvement-via-experience-sharing.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Group-Evolving Agents maintaining an archive and sharing evolutionary traces, patches, logs, outcomes, and learned artifacts across parent and offspring coding agents, with SWE-bench Verified and Polyglot evaluation.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0059	TA00760	D00760	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	2026		arXiv	10.48550/arXiv.2603.10085	2603.10085	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.LG;cs.AI;cs.MA	0	include	KernelSkill uses long-term reusable expert-skill memory and short-term memory for GPU kernel optimization.	yes	no	1_include	ok	search/full-texts/pdf/FT0059_TA00760_kernelskill-a-multi-agent-framework-for-gpu-kernel-optimization.pdf	search/full-texts/text/FT0059_TA00760_kernelskill-a-multi-agent-framework-for-gpu-kernel-optimization.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes KernelSkill's two-level memory architecture: a retrievable long-term kernel-optimization knowledge memory reused across kernels and a short-term trajectory memory updated across refinement rounds, with KernelBench evaluation and memory ablations.	codex_full_text_007	2026-04-28T21:57:55Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0060	TA00917	D00917	AgentGA: Evolving Code Solutions in Agent-Seed Space	2026	David Y. Y. Tan; Kellie Chin; Jingxian Zhang			2604.14655	citations	search/results-citations.json	forward | forward_from=zhang2025darwingodel;weng2026groupevolving	0	include	Autonomous code-generation runs reuse inherited parent archives across fresh workspaces, with empirical evaluation on AutoML code-search tasks.	yes	no	1_include	ok	search/full-texts/pdf/FT0060_TA00917_agentga-evolving-code-solutions-in-agent-seed-space.pdf	search/full-texts/text/FT0060_TA00917_agentga-evolving-code-solutions-in-agent-seed-space.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes AgentGA launching fresh autonomous code-generation runs with inherited parent archives that persist reusable artifacts across generations, with Weco-Kaggle Lite and parent-child lineage evaluation.	codex_full_text_007	2026-04-28T21:57:55Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 007 high-confidence include records.
FT0061	TA01041	D01041	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	2026	Pengfei He; A. Fox; L. Miculicich; Stefan Friedli; Daniel Fabian; Burak Gokturk; Jiliang Tang; Chen-Yu Lee; Tomas Pfister; Long T. Le		10.48550/arxiv.2602.02164	2602.02164	citations	search/results-citations.json	forward | forward_from=ouyang2026reasoningbank	0	include	Cybersecurity multi-agent framework uses long-term memory and prior trajectories for vulnerability discovery/exploitation with empirical evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0061_TA01041_co-redteam-orchestrated-security-discovery-and-exploitation-with-llm-agents.pdf	search/full-texts/text/FT0061_TA01041_co-redteam-orchestrated-security-discovery-and-exploitation-with-llm-agents.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Co-RedTeam using layered long-term memory for reusable vulnerability patterns, attack strategies, and technical actions in autonomous software vulnerability discovery and exploitation, with CyBench and BountyBench evaluation plus memory-role analysis.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0062	TA01060	D01060	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	2026	Hanrong Zhang; Shichen Fan; Henry Peng Zou; Yankai Chen; Zhenting Wang; Jiayuan Zhou; Chengze Li; Wei-Chieh Huang; Yifei Yao; Kening Zheng; Xue Liu; Xiaoxiao Li; Philip S. Yu			2604.01687	citations	search/results-citations.json	forward | forward_from=xia2025livesweagent	0	include	Self-evolving skill packages for Claude Code and Codex are persistent multi-file artifacts evaluated on SkillsBench.	yes	no	1_include	ok	search/full-texts/pdf/FT0062_TA01060_coevoskills-self-evolving-agent-skills-via-co-evolutionary-verification.pdf	search/full-texts/text/FT0062_TA01060_coevoskills-self-evolving-agent-skills-via-co-evolutionary-verification.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes CoEvoSkills constructing persistent multi-file skill packages for Claude Code and Codex, accumulating verifier feedback across iterations and transferring evolved reusable task structures to fresh coding-agent runs.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0063	TA01090	D01090	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	2026	Ao Qu; Handi Zheng; Zijian Zhou; Yihao Yan; Yihong Tang; S. Y. Ong; Fenglu Hong; Kai-Qing Zhou; Chonghe Jiang; Minwei Kong; Jiacheng Zhu; Xuan Jiang; Sirui Li; Cathy Wu; Bryan Kian Hsiang Low; Jinhua Zhao; P. Liang			2604.01658	citations	search/results-citations.json	forward | forward_from=ouyang2026reasoningbank	0	include	Open-ended multi-agent evolution uses shared persistent memory and includes systems/kernel optimization tasks with empirical evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0063_TA01090_coral-towards-autonomous-multi-agent-evolution-for-open-ended-discovery.pdf	search/full-texts/text/FT0063_TA01090_coral-towards-autonomous-multi-agent-evolution-for-open-ended-discovery.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes CORAL using shared persistent memory where agents retrieve, contribute, and distill notes and reusable skills across asynchronous open-ended optimization tasks, including systems/kernel optimization evaluation and memory ablations.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0064	TA01109	D01109	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	2026	Henry Jiang		10.48550/arxiv.2602.05848	2602.05848	citations	search/results-citations.json	forward | forward_from=zhang2025darwingodel	0	include	Self-improving code-modification framework uses persistent JSON memory files to track reasoning and code changes, with iterative performance metrics.	yes	no	1_include	ok	search/full-texts/pdf/FT0064_TA01109_darwin-dynamic-agentically-rewriting-self-improving-network.pdf	search/full-texts/text/FT0064_TA01109_darwin-dynamic-agentically-rewriting-self-improving-network.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes DARWIN using persistent JSON memory files to track prior reasoning, file hierarchy, code changes, and summaries across self-improvement generations of training-code optimization, with benchmarked MFU/perplexity outcomes and a memory ablation.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0065	TA01154	D01154	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	2026	Zimu Wang; Yuling Shi; Mengfan Li; Zijun Liu; Jie M. Zhang; Chengcheng Wan; Xiaodong Gu			2603.27850	citations	search/results-citations.json	forward | forward_from=chen2025sweexp	0	include	Code-efficiency optimization builds a reusable skill library and applies it to unseen programs with empirical evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0065_TA01154_effiskill-agent-skill-based-automated-code-efficiency-optimization.pdf	search/full-texts/text/FT0065_TA01154_effiskill-agent-skill-based-automated-code-efficiency-optimization.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes EffiSkill mining reusable optimization skills from slow/fast program pairs, storing them in a portable skill library, and retrieving/applying them in LLM-based code-efficiency optimization agents on unseen programs.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0066	TA01485	D01485	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	2026	Chenglin Li; Yisen Xu; Zehao Wang; Shin Hwei Tan; Tse-Hsun Chen		10.48550/arxiv.2601.23257	2601.23257	citations	search/results-citations.json	forward | forward_from=mu2025experepair	0	include	Software issue-resolution framework reuses distilled guidance from historical verified repairs at inference time and reports SWE-bench results.	yes	no	1_include	ok	search/full-texts/pdf/FT0066_TA01485_outcome-conditioned-reasoning-distillation-for-resolving-software-issues.pdf	search/full-texts/text/FT0066_TA01485_outcome-conditioned-reasoning-distillation-for-resolving-software-issues.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Outcome-Conditioned Reasoning Distillation transforming historical same-repository resolved issues and verified patches into reusable procedural guidance for software-issue repair, with SWE-Bench Lite evaluation and temporal-leakage controls.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0067	TA01586	D01586	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	2026	Balaji Dinesh Gangireddi; Aniketh Garikaparthi; Manasi S. Patwardhan; A. Cohan			2603.20667	citations	search/results-citations.json	forward | forward_from=xia2025livesweagent;zhang2025darwingodel	0	include	Research-coding agent learns recurring cross-repository failures into reusable heuristics and a cumulative cheatsheet with benchmark evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0067_TA01586_revere-reflective-evolving-research-engineer-for-scientific-workflows.pdf	search/full-texts/text/FT0067_TA01586_revere-reflective-evolving-research-engineer-for-scientific-workflows.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes REVERE accumulating reusable heuristics, reflection history, and a persistent cheatsheet in a Global Training Context across research-coding tasks, with SUPER, ResearchCodeBench, and ScienceAgentBench evaluation.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0068	TA01594	D01594	RuleFlow : Generating Reusable Program Optimizations with LLMs	2026	Avaljot Singh; Dushyant Bharadwaj; Stefanos Baziotis; Kaushik Varadharajan; Charith Mendis		10.48550/arxiv.2602.09051	2602.09051	citations	search/results-citations.json	forward | forward_from=zhang2025accelopt	0	include	LLM-discovered program optimizations are generalized into reusable rewrite rules and deployed across programs with empirical evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0068_TA01594_ruleflow-generating-reusable-program-optimizations-with-llms.pdf	search/full-texts/text/FT0068_TA01594_ruleflow-generating-reusable-program-optimizations-with-llms.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes RuleFlow using an LLM-assisted optimization-discovery agent to convert discovered code optimizations into generalized reusable rewrite rules that accumulate over time and are applied to unseen programs, with PandasBench evaluation.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0069	TA01607	D01607	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	2026	Shanglin Wu; Yuyang Luo; Yueqing Liang; Kaiwen Shi; Yanfang Ye; Ali Payani; Kai Shu			2604.03295	citations	search/results-citations.json	forward | forward_from=ouyang2026reasoningbank	0	include	LLM multi-agent lifelong memory is evaluated across coding, research, and database environments and reuses experience over time.	yes	no	1_include	ok	search/full-texts/pdf/FT0069_TA01607_scaling-teams-or-scaling-time-memory-enabled-lifelong-learning-in-llm-multi-agen.pdf	search/full-texts/text/FT0069_TA01607_scaling-teams-or-scaling-time-memory-enabled-lifelong-learning-in-llm-multi-agen.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes LLMA-Mem as a lifelong memory framework for multi-agent systems that distills procedural memories from episodic and transactive experience, supports cross-task reuse, and is evaluated on MultiAgentBench coding tasks.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 007 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
FT0070	TA01747	D01747	Toward Autonomous Long-Horizon Engineering for ML Research	2026	Guoxing Chen; Jie Chen; Lei Chen; Jiale Zhao; Fanzheng Meng; Wayne Xin Zhao; Ruihua Song; Cheng Chen; Ji-Rong Wen; K. Jia			2604.13018	citations	search/results-citations.json	forward | forward_from=nadafian2026kapso	0	include	Long-horizon ML research engineering system coordinates coding and experiments over durable project state with benchmark evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0070_TA01747_toward-autonomous-long-horizon-engineering-for-ml-research.pdf	search/full-texts/text/FT0070_TA01747_toward-autonomous-long-horizon-engineering-for-ml-research.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes AiScientist maintaining durable workspace state through File-as-Bus artifacts so engineering agents can resume from persisted analyses, plans, code, and experimental evidence across long-horizon ML engineering loops, with PaperBench and MLE-Bench Lite evaluation.	codex_full_text_008	2026-04-28T22:04:05Z	Batch 008 citation-only with abstracts. | retrieval ok via arxiv | Full-text batch 008 high-confidence include records.
